townland,county,smrs,entity_id,objectid,class_code,monument_type,latitude,longitude,web_notes,,,,,
BALLINCOLLIG,KERRY,KE030-080----,KE14708,68203,BOBA,bowl-barrow,52.299461,-9.616146,"Located in the corner of a gently sloping field of the lower south – western slope of Ballincollig hill, the site affords expansive views to the southern half of the compass.  The site is bounded on its southern and south-western sides by a small stream . The site is previously unrecorded and was brought to my attention by the landowner who described it as a small “Liss”. However, the extant remains seem to represent the large central platform of a ring-barrow, 20m in diameter and 0.5m higher than the surrounding land. An encircling ditch, on average 2m wide and 0.3m deep, can be  traced around the northern and south-western sides of the site. Traces of a very denuded outer bank can also be seem to the south-west, where it remains to an internal height of 0.5m, external height of 0.3m and a width of 1.5m. The landowner also pointed out that the surviving ditch remained waterlogged throughout the year and stated that this was due to the presence of a spring, which was visible, in the south-western quadrant.The overall diameter of the site, where all elements are intact, is 26.5m.'   Description from ‘The Prehistoric Settlement of the Lee Valley, Tralee, Co. Kerry; A Landscape Perspective’ by Michael Connolly. PhD Thesis UCC 2008Date of upload: 20 June 2012",,,,,
"CARRIGNAFEELA (Trughanacmy By., O'Brennan Par.)",KERRY,KE030-076----,KE14679,70163,BOBA,bowl-barrow,52.273819,-9.602639,"Located approximately 50.0m to the east of the above enclosure [KE030-075----], in the same field, this low semi-circular mound has been cut in half by an east/west field boundary. Only the southern half of this site now survives, as no trace remains in the reclaimed field to the north. What now survives measures 26.0m E-W by 12.0m N-S ( this does not represent the true N-S diameter because of the truncation by the field boundary ). The central mound survives to an average height of 0.60m and measures 16m in maximum length E-W. The top of the mound slopes inwards to a central depression, 10.50m E-W by 6.50m N-S.'   Compiled by Michael Connolly for the Archaeological Survey of Ireland as part of a survey of the Lee Valley area in 1996-97.  Date of upload: 4 May 2012 ",,,,,
CRAGGYCORRADAN EAST,CLARE,CL008-033----,CL00966,1534,BOBA,bowl-barrow,53.041223,-9.335978,,,,,,
"CARROWKEEL (Tirawley By., Rathreagh Par.)",MAYO,MA014-084----,MA00602,95682,BOBA,bowl-barrow,54.218389,-9.312925,,,,,,
BALLYALLA,CLARE,CL015-024----,CL01974,2652,BOBA,bowl-barrow,52.980798,-9.293532,,,,,,
CARROWKEEL (Corcomroe By.),CLARE,CL015-026----,CL01976,2654,BOBA,bowl-barrow,52.982357,-9.288232,,,,,,
KNOCKATOOAN,CORK,CO004-006----,CO00204,10150,BOBA,bowl-barrow,52.286549,-9.202079,"In pasture, on N-facing slope. Circular flat-topped mound (diam. c. 8m; H 0.9m from base of fosse) enclosed by fosse (Wth 4.2m; D 0.45m). External low rise (max. H 0.25m) evident NE-",,,SE and SSW-,"SW. Top of mound (diam. 4m) defined by narrow earthen rim (H 0.3m). According to landowner, top of mound dug into by his great grandfather in an attempt to level it. During digging large stone slab with bones underneath recovered at depth of 3ft (Bowman 1934, 85). Locally known as 'fort', field called 'fort field'.  The above description is derived from the published 'Archaeological Inventory of County Cork. Volume 4: North Cork' (Dublin: Stationery Office, 2000). In certain instances the entries have been revised and updated in the light of recent research.  Date of upload/revision: 14 January 2009",
CARROWLISDOOAUN,MAYO,MA100-071001-,MA06428,97869,BOBA,bowl-barrow,53.729994,-9.167382,"On summit of hill, overlooking Ballyglass Lough to N. Reconstructed after excavation. Circular mound (diam. 8.5m N-S; H 1.4m), proved upon excavation (Hencken 1935, 75-82) to be enclosed by fosse (D 0.5m), levelled E to ESE, and external earthen bank SSE to NNE, with break (Wth 1m) in NW. Erection of stone fence probably led to site disturbance on E. Contained burials (MA100-071002-).  The above description has been derived from D. Lavelle (compiler), An Archaeological Survey of Ballinrobe and District including Lough Mask and Lough Carra. Lough Mask and Lough Carra Tourist Development Association (1994), No. 41.  Date of upload: 4 February 2013  ",,,,,
SCURMORE,SLIGO,SL016-051----,SL02096,120522,BOBA,bowl-barrow,54.192838,-9.114385,"Situated atop a low ridge in pasture. Circular, steep-sided mound of earth and stone (diam. at base c. 2 1m; H 2.8m). At the top of the mound is a small irregularly-shaped, almost level area (dims. 5.1m NNE-SSW; 4.2m WNW-ESE). The mound is encircled by a wide, deep fosse (Wth 3.8m) which has a substantial bank of earth and stone (Wth. 6.5m; max. H 1m) at its outer lip. On the OS 1912 edition of the OS 25-inch map are five irregularly-shaped, recumbent boulders with the collective designation 'Standing Stones (Called the Children of the Mermaid)'. A sixth was identified during the site visit. A seventh is recorded in a legend, much of which is based at the site, which was recorded by Wood-Martin (1887-8, 290). There is no evidence that any of the boulders were ever in an upright position.   Compiled by: Patrick F. O'Donovan  Date of upload: 19 January 2011",,,,,
RAHEEN (Clare By.),GALWAY,GA042-215----,GA01871,42942,BOBA,bowl-barrow,53.493514,-9.023687,"In level grassland. A well-preserved subcircular barrow (N-S 28.65m, E-W 25.9m) comprising a central mound (H c. 1.5m max.) encircled by an internal fosse and external bank. The bank is overlain by a field wall at E, and disturbed internally at E and S by a pathway. The mound, which is denuded at S, contains a slight central depression. Two other barrows (GA042-216----, GA042-217----) lie to SW.  The above description is derived from the published 'Archaeological Inventory of County Galway Vol. II - North Galway'. Compiled by Olive Alcock, Kathy de hÓra and Paul Gosling (Dublin: Stationery Office, 1999).   Date of upload: 05 August 2010",,,,,
