GRID_CODE,LEVEL1,LEVEL2,LEVEL3,CLC_CODE,LABEL1,LABEL2,LABEL3,RGB,Combined_Label
1,1,1,1,111,Artificial surfaces,Urban fabric,Continuous urban fabric,230-000-077,Artificial surfaces-Urban fabric-Continuous urban fabric
2,1,1,2,112,Artificial surfaces,Urban fabric,Discontinuous urban fabric,255-000-000,Artificial surfaces-Urban fabric-Discontinuous urban fabric
3,1,2,1,121,Artificial surfaces,"Industrial, commercial and transport units",Industrial or commercial units,204-077-242,"Artificial surfaces-Industrial, commercial and transport units-Industrial or commercial units"
4,1,2,2,122,Artificial surfaces,"Industrial, commercial and transport units",Road and rail networks and associated land,204-000-000,"Artificial surfaces-Industrial, commercial and transport units-Road and rail networks and associated land"
5,1,2,3,123,Artificial surfaces,"Industrial, commercial and transport units",Port areas,230-204-204,"Artificial surfaces-Industrial, commercial and transport units-Port areas"
6,1,2,4,124,Artificial surfaces,"Industrial, commercial and transport units",Airports,230-204-230,"Artificial surfaces-Industrial, commercial and transport units-Airports"
7,1,3,1,131,Artificial surfaces,"Mine, dump and construction sites",Mineral extraction sites,166-000-204,"Artificial surfaces-Mine, dump and construction sites-Mineral extraction sites"
8,1,3,2,132,Artificial surfaces,"Mine, dump and construction sites",Dump sites,166-077-000,"Artificial surfaces-Mine, dump and construction sites-Dump sites"
9,1,3,3,133,Artificial surfaces,"Mine, dump and construction sites",Construction sites,255-077-255,"Artificial surfaces-Mine, dump and construction sites-Construction sites"
10,1,4,1,141,Artificial surfaces,"Artificial, non-agricultural vegetated areas",Green urban areas,255-166-255,"Artificial surfaces-Artificial, non-agricultural vegetated areas-Green urban areas"
11,1,4,2,142,Artificial surfaces,"Artificial, non-agricultural vegetated areas",Sport and leisure facilities,255-230-255,"Artificial surfaces-Artificial, non-agricultural vegetated areas-Sport and leisure facilities"
12,2,1,1,211,Agricultural areas,Arable land,Non-irrigated arable land,255-255-168,Agricultural areas-Arable land-Non-irrigated arable land
13,2,1,2,212,Agricultural areas,Arable land,Permanently irrigated land,255-255-000,Agricultural areas-Arable land-Permanently irrigated land
14,2,1,3,213,Agricultural areas,Arable land,Rice fields,230-230-000,Agricultural areas-Arable land-Rice fields
15,2,2,1,221,Agricultural areas,Permanent crops,Vineyards,230-128-000,Agricultural areas-Permanent crops-Vineyards
16,2,2,2,222,Agricultural areas,Permanent crops,Fruit trees and berry plantations,242-166-077,Agricultural areas-Permanent crops-Fruit trees and berry plantations
17,2,2,3,223,Agricultural areas,Permanent crops,Olive groves,230-166-000,Agricultural areas-Permanent crops-Olive groves
18,2,3,1,231,Agricultural areas,Pastures,Pastures,230-230-077,Agricultural areas-Pastures-Pastures
19,2,4,1,241,Agricultural areas,Heterogeneous agricultural areas,Annual crops associated with permanent crops,255-230-166,Agricultural areas-Heterogeneous agricultural areas-Annual crops associated with permanent crops
20,2,4,2,242,Agricultural areas,Heterogeneous agricultural areas,Complex cultivation patterns,255-230-077,Agricultural areas-Heterogeneous agricultural areas-Complex cultivation patterns
21,2,4,3,243,Agricultural areas,Heterogeneous agricultural areas,"Land principally occupied by agriculture, with significant areas of natural vegetation",230-204-077,"Agricultural areas-Heterogeneous agricultural areas-Land principally occupied by agriculture, with significant areas of natural vegetation"
22,2,4,4,244,Agricultural areas,Heterogeneous agricultural areas,Agro-forestry areas,242-204-166,Agricultural areas-Heterogeneous agricultural areas-Agro-forestry areas
23,3,1,1,311,Forest and semi natural areas,Forests,Broad-leaved forest,128-255-000,Forest and semi natural areas-Forests-Broad-leaved forest
24,3,1,2,312,Forest and semi natural areas,Forests,Coniferous forest,000-166-000,Forest and semi natural areas-Forests-Coniferous forest
25,3,1,3,313,Forest and semi natural areas,Forests,Mixed forest,077-255-000,Forest and semi natural areas-Forests-Mixed forest
26,3,2,1,321,Forest and semi natural areas,Scrub and/or herbaceous vegetation associations,Natural grasslands,204-242-077,Forest and semi natural areas-Scrub and/or herbaceous vegetation associations-Natural grasslands
27,3,2,2,322,Forest and semi natural areas,Scrub and/or herbaceous vegetation associations,Moors and heathland,166-255-128,Forest and semi natural areas-Scrub and/or herbaceous vegetation associations-Moors and heathland
28,3,2,3,323,Forest and semi natural areas,Scrub and/or herbaceous vegetation associations,Sclerophyllous vegetation,166-230-077,Forest and semi natural areas-Scrub and/or herbaceous vegetation associations-Sclerophyllous vegetation
