GRID_CODE,CLC_CODE,LABEL1,LABEL2,LABEL3,RGB,Combined_label
1,111,Artificial surfaces,Urban fabric,Continuous urban fabric,230-000-077,Artificial surfaces-Urban fabric-Continuous urban fabric
2,112,Artificial surfaces,Urban fabric,Discontinuous urban fabric,255-000-000,Artificial surfaces-Urban fabric-Discontinuous urban fabric
3,121,Artificial surfaces,"Industrial, commercial and transport units",Industrial or commercial units,204-077-242,"Artificial surfaces-Industrial, commercial and transport units-Industrial or commercial units"
4,122,Artificial surfaces,"Industrial, commercial and transport units",Road and rail networks and associated land,204-000-000,"Artificial surfaces-Industrial, commercial and transport units-Road and rail networks and associated land"
5,123,Artificial surfaces,"Industrial, commercial and transport units",Port areas,230-204-204,"Artificial surfaces-Industrial, commercial and transport units-Port areas"
6,124,Artificial surfaces,"Industrial, commercial and transport units",Airports,230-204-230,"Artificial surfaces-Industrial, commercial and transport units-Airports"
7,131,Artificial surfaces,"Mine, dump and construction sites",Mineral extraction sites,166-000-204,"Artificial surfaces-Mine, dump and construction sites-Mineral extraction sites"
8,132,Artificial surfaces,"Mine, dump and construction sites",Dump sites,166-077-000,"Artificial surfaces-Mine, dump and construction sites-Dump sites"
9,133,Artificial surfaces,"Mine, dump and construction sites",Construction sites,255-077-255,"Artificial surfaces-Mine, dump and construction sites-Construction sites"
10,141,Artificial surfaces,"Artificial, non-agricultural vegetated areas",Green urban areas,255-166-255,"Artificial surfaces-Artificial, non-agricultural vegetated areas-Green urban areas"
11,142,Artificial surfaces,"Artificial, non-agricultural vegetated areas",Sport and leisure facilities,255-230-255,"Artificial surfaces-Artificial, non-agricultural vegetated areas-Sport and leisure facilities"
12,211,Agricultural areas,Arable land,Non-irrigated arable land,255-255-168,Agricultural areas-Arable land-Non-irrigated arable land
13,212,Agricultural areas,Arable land,Permanently irrigated land,255-255-000,Agricultural areas-Arable land-Permanently irrigated land
14,213,Agricultural areas,Arable land,Rice fields,230-230-000,Agricultural areas-Arable land-Rice fields
15,221,Agricultural areas,Permanent crops,Vineyards,230-128-000,Agricultural areas-Permanent crops-Vineyards
16,222,Agricultural areas,Permanent crops,Fruit trees and berry plantations,242-166-077,Agricultural areas-Permanent crops-Fruit trees and berry plantations
17,223,Agricultural areas,Permanent crops,Olive groves,230-166-000,Agricultural areas-Permanent crops-Olive groves
18,231,Agricultural areas,Pastures,Pastures,230-230-077,Agricultural areas-Pastures-Pastures
19,241,Agricultural areas,Heterogeneous agricultural areas,Annual crops associated with permanent crops,255-230-166,Agricultural areas-Heterogeneous agricultural areas-Annual crops associated with permanent crops
20,242,Agricultural areas,Heterogeneous agricultural areas,Complex cultivation patterns,255-230-077,Agricultural areas-Heterogeneous agricultural areas-Complex cultivation patterns
21,243,Agricultural areas,Heterogeneous agricultural areas,"Land principally occupied by agriculture, with significant areas of natural vegetation",230-204-077,"Agricultural areas-Heterogeneous agricultural areas-Land principally occupied by agriculture, with significant areas of natural vegetation"
22,244,Agricultural areas,Heterogeneous agricultural areas,Agro-forestry areas,242-204-166,Agricultural areas-Heterogeneous agricultural areas-Agro-forestry areas
