townland,county,entity_id,class_code,monument_type,latitude,longitude,web_notes,website_link
Cnoc Na Lobhar,Mayo,MA00475,STCI,Stone circle,54.236113,-9.82014,"The Archaeological Survey of Ireland (ASI) is in the process of providing information on all monuments on The Historic Environment Viewer (HEV). Currently the information for this record has not been uploaded.  To access available  information for research purposes please make an appointment in advance with the Archive Unit (open Fridays 10.00 am – 5.00 pm), Department of Culture, Heritage and the Gaeltacht,  The Custom House, Dublin 1 D01W6XO or email nmarchive@chg.gov.ie.", https://maps.archaeology.ie/HistoricEnvironment/?SMRS=MA011-029----
Clooney,Clare,CL03939,STCI,Stone circle,52.857478,-8.85957,"The Archaeological Survey of Ireland (ASI) is in the process of providing information on all monuments on The Historic Environment Viewer (HEV). Currently the information for this record has not been uploaded.  To access available  information for research purposes please make an appointment in advance with the Archive Unit (open Fridays 10.00 am – 5.00 pm), Department of Culture, Heritage and the Gaeltacht,  The Custom House, Dublin 1 D01W6XO or email nmarchive@chg.gov.ie.", https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CL034-086----
Glenreagh (Duhallow By.),Cork,CO02283,FISC,Stone circle - five-stone,52.176202,-9.185753,"On top of low ridge in rolling pasture. Circle comprised five stones, one of which had fallen; internal diameter 3.5m. Neither entrance stones nor axial stone could be identified with certainty. Stones measured 0.8m to 1.3m L, 0.5m to 0.8m T and 0.5m to 0.9m H. Prostrate slab, possibly fallen standing stone, lay 2m S of circle. Monument was destroyed in 1970s and stones thrown into abandoned quarry in SW corner of field. (Ó Nualláin 1984a, 30, no. 49)  The above description is derived from the published 'Archaeological Inventory of County Cork. Volume 4: North Cork' (Dublin: Stationery Office, 2000). In certain instances the entries have been revised and updated in the light of recent research.  Date of upload/revision: 14 January 2009", https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CO021-060----
Cabragh,Cork,CO08260,FISC,Stone circle - five-stone,51.966758,-9.050621,"In tract of reclaimed pasture, at head of short valley opening onto Foherish River valley to E. Circle partly incorporated in field fence. Circle incomplete; S side stone missing. Orthostats are 0.7m to 0.9m, L 0.2m to 0.4m T and 0.6m to 1.1m H. Internal measurement along main axis, aligned NE-SW, is c. 2.2m. Stone row (6505) stands 6m to S. (O Nualláin 1984a, 35, no. 63)  The above description is derived from the published 'Archaeological Inventory of County Cork. Volume 3: Mid Cork' (Dublin: Stationery Office, 1997). In certain instances the entries have been revised and updated in the light of recent research.  Date of upload/revision: 14 January 2009", https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CO059-015002-
Knockraheen,Cork,CO08271,FISC,Stone circle - five-stone,51.969193,-9.012735,"On small moorland plateau at SW end of Boggeragh Mountains, overlooking Foherish River valley to W. Circle complete. Orthostats are 1m to 1.9m L,0.4m to 0.6m T and 0.6m to 0.9m H. Internal measurement along main axis, aligned NE-SW, is 4m. Pair of standing stones (6560) stands 22.5m to SW, radial-stone cairn (6491) 70m to SE, and pair of standing stones (6561) and cairns (CO059-02304-; CO059-02305-; CO059-02307-) 120m to NE. (O Nualláin 1984a, 34-5, no. 62)  The above description is derived from the published 'Archaeological Inventory of County Cork. Volume 3: Mid Cork' (Dublin: Stationery Office, 1997). In certain instances the entries have been revised and updated in the light of recent research.  Date of upload/revision: 14 January 2009", https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CO059-023002-
Lissard (Barretts By.),Cork,CO06538,MUSC,Stone circle - multiple-stone,52.063777,-8.609281,"Site destroyed between 1963 and 1970. It stood on rolling pasture, 150m SE of Peastinagh River. Six stones of circle remained in 1963, with single internal stone (6817). Orthostats were 0.3m to 1.1m L, 0.1m to 0.25m T and 0.4m to 0.85m H. (O Nualláin 1984a, 11, no. 1)  The above description is derived from the published 'Archaeological Inventory of County Cork. Volume 3: Mid Cork' (Dublin: Stationery Office, 1997). In certain instances the entries have been revised and updated in the light of recent research.  Date of upload/revision: 14 January 2009", https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CO042-074001-
Glenleigh,Cork,CO05886,FISC,Stone circle - five-stone,52.061495,-8.994827,"On top of low ridge, in rolling pasture, in N foothills of Boggeragh Mountains. Circle incomplete; W side stone is missing and E entrance stone appears displaced. Orthostats are 0.8m to 2.2m L, 0.25m to 0.6m T and 0.9m to 1.1m H. Internal measurement along main axis, aligned NE-SW, is c. 3.4m.(O Nualláin 1984a, 30, no. 50)  The above description is derived from the published 'Archaeological Inventory of County Cork. Volume 3: Mid Cork' (Dublin: Stationery Office, 1997). In certain instances the entries have been revised and updated in the light of recent research.  Date of upload/revision: 14 January 2009", https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CO039-097----
Kilmeedy West,Cork,CO06946,FISC,Stone circle - five-stone,52.040723,-9.110298,"In cut-away bog, on SE-facing slope of saddle to SW of Claragh Mountain overlooking Commeenatrush River valley. Circle incomplete; W entrance and side stone missing. Orthostats are 0.95m to 1.45m L, 0.17m to 0.22m T and 0.55m to 0.70m H. Internal measurement along main axis, aligned NNE-SSW, is 3.4m.  The above description is derived from the published 'Archaeological Inventory of County Cork. Volume 3: Mid Cork' (Dublin: Stationery Office, 1997). In certain instances the entries have been revised and updated in the light of recent research.  Date of upload/revision: 14 January 2009", https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CO047-005----
Cloghboola More,Cork,CO07013,FISC,Stone circle - five-stone,52.029997,-9.055746,"In gently sloping pasture, on S side of valley of tributary of Finnow River. Circle destroyed c. 1984. Circle was incomplete; stone on W side missing. Orthostats were 0.6m to 1.2m L, 0.3m to 0.5m T and 0.7m to 1.15m H. Measurement along main axis, aligned N-S, was 2.8m. Standing stones (6648) c. 40m to NE, and (6649) c. 70m to SE. (O Nualláin 1984a, 31, no.52)  The above description is derived from the published 'Archaeological Inventory of County Cork. Volume 3: Mid Cork' (Dublin: Stationery Office, 1997). In certain instances the entries have been revised and updated in the light of recent research.  Date of upload/revision: 14 January 2009", https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CO048-025001-
Tullig (Muskerry West By.),Cork,CO07040,FISC,Stone circle - five-stone,52.036618,-9.006869,"In pasture, at N foot of Musheramore Mountain between the Owenbaun and Mushera Rivers. Monument destroyed shortly before 1933. Earlier records indicate that this was probable five-stone circle; gallán (CO048-041---) and site of possible stone circle (6485) c. 450m to SW. (O Nualláin 1984a, 31, no. 51)  The above description is derived from the published 'Archaeological Inventory of County Cork. Volume 3: Mid Cork' (Dublin: Stationery Office, 1997). In certain instances the entries have been revised and updated in the light of recent research.  Date of upload/revision: 14 January 2009", https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CO048-044----
